Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
CEL-Seq: Single-Cell RNA-Seq by Multiplexed Linear Amplification,,10.1016/j.celrep.2012.08.003,True,CEL-Seq_ Single-Cell RNA-Seq by Multiplexed Linear Amplification.pdf,2012,,Cell Reports,True,SciHub,Tamar Hashimshony and Florian Wagner and Noa Sher and Itai Yanai
Single-Cell Expression Analyses during Cellular Reprogramming Reveal an Early Stochastic and a Late Hierarchic Phase,,10.1016/j.cell.2012.08.023,True,Single-Cell Expression Analyses during Cellular Reprogramming Reveal an Early Stochastic and a Late Hierarchic Phase.pdf,2012,,Cell,True,SciHub,Yosef Buganim and Dina~A. Faddah and Albert~W. Cheng and Elena Itskovich and Styliani Markoulaki and Kibibi Ganz and Sandy~L. Klemm and Alexander van~Oudenaarden and Rudolf Jaenisch
Characterization of transcriptional networks in blood stem and progenitor cells using high-throughput single-cell gene expression analysis,,10.1038/ncb2709,True,Characterization of transcriptional networks in blood stem and progenitor cells using high-throughput single-cell gene expression analysis.pdf,2013,,Nature Cell Biology,True,SciHub,Victoria Moignard and Iain C. Macaulay and Gemma Swiers and Florian Buettner and Judith Schütte and Fernando J. Calero-Nieto and Sarah Kinston and Anagha Joshi and Rebecca Hannah and Fabian J. Theis and Sten Eirik Jacobsen and Marella F. de Bruijn and Berthold Göttgens
"Quartz-Seq: a highly reproducible and sensitive single-cell RNA sequencing method, reveals non-genetic gene-expression heterogeneity",,10.1186/gb-2013-14-4-r31,True,Quartz-Seq_ a highly reproducible and sensitive single-cell RNA sequencing method_ reveals non-genetic gene-expression heterogeneity.pdf,2013,,Genome Biology,True,SciHub,Yohei Sasagawa and Itoshi Nikaido and Tetsutaro Hayashi and Hiroki Danno and Kenichiro D Uno and Takeshi Imai and Hiroki R Ueda
Single-cell transcriptomics reveals bimodality in expression and splicing in immune cells,,10.1038/nature12172,True,Single-cell transcriptomics reveals bimodality in expression and splicing in immune cells.pdf,2013,,Nature,True,SciHub,Alex K. Shalek and Rahul Satija and Xian Adiconis and Rona S. Gertner and Jellert T. Gaublomme and Raktima Raychowdhury and Schraga Schwartz and Nir Yosef and Christine Malboeuf and Diana Lu and John J. Trombetta and Dave Gennert and Andreas Gnirke and Alon Goren and Nir Hacohen and Joshua Z. Levin and Hongkun Park and Aviv Regev
A tripartite transcription factor network regulates primordial germ cell specification in mice,,10.1038/ncb2798,True,A tripartite transcription factor network regulates primordial germ cell specification in mice.pdf,2013,,Nature Cell Biology,True,SciHub,Erna Magn{\'{u}}sd{\'{o}}ttir and Sabine Dietmann and Kazuhiro Murakami and Ufuk GÃ¼nesdogan and Fuchou Tang and Siqin Bao and Evangelia Diamanti and Kaiqin Lao and Berthold Gottgens and M. Azim Surani
Genetic programs in human and mouse early embryos revealed by single-cell RNA sequencing,,10.1038/nature12364,True,Genetic programs in human and mouse early embryos revealed by single-cell RNA_sequencing.pdf,2013,,Nature,True,SciHub,Zhigang Xue and Kevin Huang and Chaochao Cai and Lingbo Cai and Chun-yan Jiang and Yun Feng and Zhenshan Liu and Qiao Zeng and Liming Cheng and Yi E. Sun and Jia-yin Liu and Steve Horvath and Guoping Fan
Single-cell RNA-Seq profiling of human preimplantation embryos and embryonic stem cells,,10.1038/nsmb.2660,True,Single-cell RNA-Seq profiling of human preimplantation embryos and embryonic stem cells.pdf,2013,,Nature Structural {&}amp$mathsemicolon$ Molecular Biology,True,SciHub,Liying Yan and Mingyu Yang and Hongshan Guo and Lu Yang and Jun Wu and Rong Li and Ping Liu and Ying Lian and Xiaoying Zheng and Jie Yan and Jin Huang and Ming Li and Xinglong Wu and Lu Wen and Kaiqin Lao and Ruiqiang Li and Jie Qiao and Fuchou Tang
Smart-seq2 for sensitive full-length transcriptome profiling in single cells,,10.1038/nmeth.2639,True,Smart-seq2 for sensitive full-length transcriptome profiling in single cells.pdf,2013,,Nature Methods,True,SciHub,Simone Picelli and {\AA}sa K Björklund and Omid R Faridani and Sven Sagasser and Gösta Winberg and Rickard Sandberg
Accounting for technical noise in single-cell RNA-seq experiments,,10.1038/nmeth.2645,True,Accounting for technical noise in single-cell RNA-seq experiments.pdf,2013,,Nature Methods,True,SciHub,Philip Brennecke and Simon Anders and Jong Kyoung Kim and Aleksandra A Ko{\l}odziejczyk and Xiuwei Zhang and Valentina Proserpio and Bianka Baying and Vladimir Benes and Sarah A Teichmann and John C Marioni and Marcus G Heisler
Quantitative assessment of single-cell RNA-sequencing methods,,10.1038/nmeth.2694,True,Quantitative assessment of single-cell RNA-sequencing methods.pdf,2013,,Nature Methods,True,SciHub,Angela R Wu and Norma F Neff and Tomer Kalisky and Piero Dalerba and Barbara Treutlein and Michael E Rothenberg and Francis M Mburu and Gary L Mantalas and Sopheak Sim and Michael F Clarke and Stephen R Quake
RNA-sequencing from single nuclei,,10.1073/pnas.1319700110,True,RNA-sequencing from single nuclei.pdf,2013,,Proceedings of the National Academy of Sciences,True,SciHub,Rashel V. Grindberg and Joyclyn L. Yee-Greenbaum and Michael J. McConnell and Mark Novotny and Andy L. O'Shaughnessy and Georgina M. Lambert and Marcos J. Ara{\'{u}}zo-Bravo and Jun Lee and Max Fishman and Gillian E. Robbins and Xiaoying Lin and Pratap Venepally and Jonathan H. Badger and David W. Galbraith and Fred H. Gage and Roger S. Lasken
From single-cell to cell-pool transcriptomes: Stochasticity in gene expression and RNA splicing,,10.1101/gr.161034.113,True,From single-cell to cell-pool transcriptomes_ Stochasticity in gene expression and RNA splicing.pdf,2013,,Genome Research,True,SciHub,Georgi K. Marinov and Brian A. Williams and Ken McCue and Gary P. Schroth and Jason Gertz and Richard M. Myers and Barbara J. Wold
Quantitative single-cell RNA-seq with unique molecular identifiers,,10.1038/nmeth.2772,True,Quantitative single-cell RNA-seq with unique molecular identifiers.pdf,2013,,Nature Methods,True,SciHub,Saiful Islam and Amit Zeisel and Simon Joost and Gioele La Manno and Pawel Zajac and Maria Kasper and Peter LÃ¶nnerberg and Sten Linnarsson
"Single-Cell RNA-Seq Reveals Dynamic, Random Monoallelic Gene Expression in Mammalian Cells",,10.1126/science.1245316,True,Single-Cell RNA-Seq Reveals Dynamic_ Random Monoallelic Gene Expression in Mammalian Cells.pdf,2014,,Science,True,SciHub,Qiaolin Deng and Daniel Ramsköld and Björn Reinius and Rickard Sandberg
Massively Parallel Single-Cell RNA-Seq for Marker-Free Decomposition of Tissues into Cell Types,,10.1126/science.1247651,True,Massively Parallel Single-Cell RNA-Seq for Marker-Free Decomposition of Tissues into Cell Types.pdf,2014,,Science,True,SciHub,D. A. Jaitin and E. Kenigsberg and H. Keren-Shaul and N. Elefant and F. Paul and I. Zaretsky and A. Mildner and N. Cohen and S. Jung and A. Tanay and I. Amit
Characterization of directed differentiation by high-throughput single-cell RNA-Seq,,10.1101/003236,True,,2014,,Cold Spring Harbor Laboratory,False,,Magali Soumillon and Davide Cacchiarelli and Stefan Semrau and Alexander van Oudenaarden and Tarjei S Mikkelsen
The dynamics and regulators of cell fate decisions are revealed by pseudotemporal ordering of single cells,,10.1038/nbt.2859,True,The dynamics and regulators of cell fate decisions are revealed by pseudotemporal ordering of single cells.pdf,2014,,Nature Biotechnology,True,SciHub,Cole Trapnell and Davide Cacchiarelli and Jonna Grimsby and Prapti Pokharel and Shuqiang Li and Michael Morse and Niall J Lennon and Kenneth J Livak and Tarjei S Mikkelsen and John L Rinn
Reconstructing lineage hierarchies of the distal lung epithelium using single-cell RNA-seq,,10.1038/nature13173,True,Reconstructing lineage hierarchies of the distal lung epithelium using single-cell RNA-seq.pdf,2014,,Nature,True,SciHub,Barbara Treutlein and Doug G. Brownfield and Angela R. Wu and Norma F. Neff and Gary L. Mantalas and F. Hernan Espinoza and Tushar J. Desai and Mark A. Krasnow and Stephen R. Quake
Reconstruction of the Mouse Otocyst and Early Neuroblast Lineage at Single-Cell Resolution,,10.1016/j.cell.2014.03.036,True,Reconstruction of the Mouse Otocyst and Early Neuroblast Lineage at Single-Cell Resolution.pdf,2014,,Cell,True,SciHub,Robert Durruthy-Durruthy and Assaf Gottlieb and Byron~H. Hartman and JÃ¶rg Waldhaus and Roman~D. Laske and Russ Altman and Stefan Heller
Microfluidic single-cell whole-transcriptome sequencing,,10.1073/pnas.1402030111,True,Microfluidic single-cell whole-transcriptome sequencing.pdf,2014,,Proceedings of the National Academy of Sciences,True,SciHub,Aaron M. Streets and Xiannian Zhang and Chen Cao and Yuhong Pang and Xinglong Wu and Liang Xiong and Lu Yang and Yusi Fu and Liang Zhao and Fuchou Tang and Yanyi Huang
Single-Cell RNA Sequencing Reveals T Helper Cells Synthesizing Steroids De Novo to Contribute to Immune Homeostasis,,10.1016/j.celrep.2014.04.011,True,Single-Cell RNA Sequencing Reveals T Helper Cells Synthesizing Steroids De Novo to Contribute to Immune Homeostasis.pdf,2014,,Cell Reports,True,SciHub,Bidesh Mahata and Xiuwei Zhang and Aleksandra~A. Kolodziejczyk and Valentina Proserpio and Liora Haim-Vilmovsky and Angela~E. Taylor and Daniel Hebenstreit and Felix~A. Dingler and Victoria Moignard and Berthold GÃ¶ttgens and Wiebke Arlt and Andrew~N.J. McKenzie and Sarah~A. Teichmann
Single-cell RNA-seq reveals dynamic paracrine control of cellular variation,,10.1038/nature13437,True,Single-cell RNA-seq reveals dynamic paracrine control of cellular variation.pdf,2014,,Nature,True,SciHub,Alex K. Shalek and Rahul Satija and Joe Shuga and John J. Trombetta and Dave Gennert and Diana Lu and Peilin Chen and Rona S. Gertner and Jellert T. Gaublomme and Nir Yosef and Schraga Schwartz and Brian Fowler and Suzanne Weaver and Jing Wang and Xiaohui Wang and Ruihua Ding and Raktima Raychowdhury and Nir Friedman and Nir Hacohen and Hongkun Park and Andrew P. May and Aviv Regev
Single-cell RNA-seq highlights intratumoral heterogeneity in primary glioblastoma,,10.1126/science.1254257,True,Single-cell RNA-seq highlights intratumoral heterogeneity in primary glioblastoma.pdf,2014,,Science,True,SciHub,Anoop P. Patel and Itay Tirosh and John J. Trombetta and Alex K. Shalek and Shawn M. Gillespie and Hiroaki Wakimoto and Daniel P. Cahill and Brian V. Nahed and William T. Curry and Robert L. Martuza and David N. Louis and Orit Rozenblatt-Rosen and Mario L. Suv{\`{a}} and Aviv Regev and Bradley E. Bernstein
Single cell dissection of early kidney development: multilineage priming,,10.1242/dev.110601,True,Single cell dissection of early kidney development_ multilineage priming.pdf,2014,,Development,True,SciHub,Eric W. Brunskill and Joo-Seop Park and Eunah Chung and Feng Chen and Bliss Magella and S. Steven Potter
Low-coverage single-cell mRNA sequencing reveals cellular heterogeneity and activated signaling pathways in developing cerebral cortex,,10.1038/nbt.2967,True,Low-coverage single-cell mRNA sequencing reveals cellular heterogeneity and activated signaling pathways in developing cerebral cortex.pdf,2014,,Nature Biotechnology,True,SciHub,Alex A Pollen and Tomasz J Nowakowski and Joe Shuga and Xiaohui Wang and Anne A Leyrat and Jan H Lui and Nianzhen Li and Lukasz Szpankowski and Brian Fowler and Peilin Chen and Naveen Ramalingam and Gang Sun and Myo Thu and Michael Norris and Ronald Lebofsky and Dominique Toppani and Darnell W Kemp and Michael Wong and Barry Clerkson and Brittnee N Jones and Shiquan Wu and Lawrence Knutsson and Beatriz Alvarado and Jing Wang and Lesley S Weaver and Andrew P May and Robert C Jones and Marc A Unger and Arnold R Kriegstein and Jay A A West
"Population and single-cell genomics reveal the <i>Aire</i> dependency, relief from Polycomb silencing, and distribution of self-antigen expression in thymic epithelia",,10.1101/gr.171645.113,True,Population and single-cell genomics reveal the _i_Aire__i_ dependency_ relief from Polycomb silencing_ and distribution of self-antigen expression in thymic epithelia.pdf,2014,,Genome Research,True,SciHub,Stephen N. Sansom and Noriko Shikama-Dorn and Saule Zhanybekova and Gretel Nusspaumer and Iain C. Macaulay and Mary E. Deadman and Andreas Heger and Chris P. Ponting and Georg A. HollÃ¤nder
Single-Cell RNA Sequencing Identifies Extracellular Matrix Gene Expression by Pancreatic Circulating Tumor Cells,,10.1016/j.celrep.2014.08.029,True,Single-Cell RNA Sequencing Identifies Extracellular Matrix Gene Expression by Pancreatic Circulating Tumor Cells.pdf,2014,,Cell Reports,True,SciHub,David~T. Ting and Ben~S. Wittner and Matteo Ligorio and Nicole Vincent~Jordan and Ajay~M. Shah and David~T. Miyamoto and Nicola Aceto and Francesca Bersani and Brian~W. Brannigan and Kristina Xega and Jordan~C. Ciciliano and Huili Zhu and Olivia~C. MacKenzie and Julie Trautwein and Kshitij~S. Arora and Mohammad Shahid and Haley~L. Ellis and Na Qu and Nabeel Bardeesy and Miguel~N. Rivera and Vikram Deshpande and Cristina~R. Ferrone and Ravi Kapur and Sridhar Ramaswamy and Toshi Shioda and Mehmet Toner and Shyamala Maheswaran and Daniel~A. Haber
Unbiased classification of sensory neuron types by large-scale single-cell RNA sequencing,,10.1038/nn.3881,True,Unbiased classification of sensory neuron types by large-scale single-cell RNA sequencing.pdf,2014,,Nature Neuroscience,True,SciHub,Dmitry Usoskin and Alessandro Furlan and Saiful Islam and Hind Abdo and Peter Lönnerberg and Daohua Lou and Jens Hjerling-Leffler and Jesper Haeggström and Olga Kharchenko and Peter V Kharchenko and Sten Linnarsson and Patrik Ernfors
A secretagogin locus of the mammalian hypothalamus controls stress hormone release,,10.15252/embj.201488977,True,A secretagogin locus of the mammalian hypothalamus controls stress hormone release.pdf,2014,,The {EMBO} Journal,True,SciHub,Roman A Romanov and Al{\'{a}}n Alp{\'{a}}r and Ming-Dong Zhang and Amit Zeisel and Andr{\'{e}} Calas and Marc Landry and Matthew Fuszard and Sally L Shirran and Robert Schnell and {\'{A}}rp{\'{a}}d Dobolyi and M{\'{a}}rk Ol{\'{a}}h and Lauren Spence and Jan Mulder and Henrik Martens and Mikl{\'{o}}s Palkovits and Mathias Uhlen and Harald H Sitte and Catherine H Botting and Ludwig Wagner and Sten Linnarsson and Tomas HÃ¶kfelt and Tibor Harkany
Deconstructing transcriptional heterogeneity in pluripotent stem cells,,10.1038/nature13920,True,Deconstructing transcriptional heterogeneity in pluripotent stem cells.pdf,2014,,Nature,True,SciHub,Roshan M. Kumar and Patrick Cahan and Alex K. Shalek and Rahul Satija and A. Jay DaleyKeyser and Hu Li and Jin Zhang and Keith Pardee and David Gennert and John J. Trombetta and Thomas C. Ferrante and Aviv Regev and George Q. Daley and James J. Collins
"Cortical fast-spiking parvalbumin interneurons enwrapped in the perineuronal net express the metallopeptidases Adamts8, Adamts15 and Neprilysin",,10.1038/mp.2014.162,True,Cortical fast-spiking parvalbumin interneurons enwrapped in the perineuronal net express the metallopeptidases Adamts8_ Adamts15 and Neprilysin.pdf,2014,,Molecular Psychiatry,True,SciHub,J Rossier and A Bernard and J-H Cabungcal and Q Perrenoud and A Savoye and T Gallopin and M Hawrylycz and M Cu{\'{e}}nod and K Do and A Urban and Ed S Lein
Single-Cell Transcriptome Analysis Reveals Dynamic Changes in lncRNA Expression during Reprogramming,,10.1016/j.stem.2014.11.005,True,Single-Cell Transcriptome Analysis Reveals Dynamic Changes in lncRNA Expression during Reprogramming.pdf,2015,,Cell Stem Cell,True,SciHub,Daniel~H. Kim and Georgi~K. Marinov and Shirley Pepke and Zakary~S. Singer and Peng He and Brian Williams and Gary~P. Schroth and Michael~B. Elowitz and Barbara~J. Wold
Computational analysis of cell-to-cell heterogeneity in single-cell RNA-sequencing data reveals hidden subpopulations of cells,,10.1038/nbt.3102,True,Computational analysis of cell-to-cell heterogeneity in single-cell RNA-sequencing data reveals hidden subpopulations of cells.pdf,2015,,Nature Biotechnology,True,SciHub,Florian Buettner and Kedar N Natarajan and F Paolo Casale and Valentina Proserpio and Antonio Scialdone and Fabian J Theis and Sarah A Teichmann and John C Marioni and Oliver Stegle
Integrated genome and transcriptome sequencing of the same cell,,10.1038/nbt.3129,True,Integrated genome and transcriptome sequencing of the same cell.pdf,2015,,Nature Biotechnology,True,SciHub,Siddharth S Dey and Lennart Kester and Bastiaan Spanjaard and Magda Bienko and Alexander van Oudenaarden
Quantification of cell identity from single-cell gene expression profiles,,10.1186/s13059-015-0580-x,True,Quantification of cell identity from single-cell gene expression profiles.pdf,2015,,Genome Biology,True,SciHub,Idan Efroni and Pui-Leng Ip and Tal Nawy and Alison Mello and Kenneth D Birnbaum
Combinatorial labeling of single cells for gene expression cytometry,,10.1126/science.1258367,True,Combinatorial labeling of single cells for gene expression cytometry.pdf,2015,,Science,True,SciHub,H. Christina Fan and Glenn K. Fu and Stephen P. A. Fodor
Sexual Cell-Fate Reprogramming in the Ovary by DMRT1,,10.1016/j.cub.2015.01.034,True,Sexual Cell-Fate Reprogramming in the Ovary by DMRT1.pdf,2015,,Current Biology,True,SciHub,Robin~E. Lindeman and Micah~D. Gearhart and Anna Minkina and Anthony~D. Krentz and Vivian~J. Bardwell and David Zarkower
Cell types in the mouse cortex and hippocampus revealed by single-cell RNA-seq,,10.1126/science.aaa1934,True,Cell types in the mouse cortex and hippocampus revealed by single-cell RNA-seq.pdf,2015,,Science,True,SciHub,Amit Zeisel and Ana B. Mu{\~{n}}oz-Manchado and Simone Codeluppi and Peter LÃ¶nnerberg and Gioele La Manno and Anna Jur{\'{e}}us and Sueli Marques and Hermany Munguba and Liqun He and Christer Betsholtz and Charlotte Rolny and Gon{\c{c}}alo Castelo-Branco and Jens Hjerling-Leffler and Sten Linnarsson
SC3-seq: a method for highly parallel and quantitative measurement of single-cell gene expression,,10.1093/nar/gkv134,True,SC3-seq_ a method for highly parallel and quantitative measurement of single-cell gene expression.pdf,2015,,Nucleic Acids Research,True,SciHub,Tomonori Nakamura and Yukihiro Yabuta and Ikuhiro Okamoto and Shinya Aramaki and Shihori Yokobayashi and Kazuki Kurimoto and Kiyotoshi Sekiguchi and Masato Nakagawa and Takuya Yamamoto and Mitinori Saitou
Single Mammalian Cells Compensate for Differences in Cellular Volume and DNA Copy Number through Independent Global Transcriptional Mechanisms,,10.1016/j.molcel.2015.03.005,True,Single Mammalian Cells Compensate for Differences in Cellular Volume and DNA Copy Number through Independent Global Transcriptional Mechanisms.pdf,2015,,Molecular Cell,True,SciHub,Olivia Padovan-Merhar and Gautham~P. Nair and Andrew~G. Biaesch and Andreas Mayer and Steven Scarfone and Shawn~W. Foley and Angela~R. Wu and L.~Stirling Churchman and Abhyudai Singh and Arjun Raj
Spatial reconstruction of single-cell gene expression data,,10.1038/nbt.3192,True,Spatial reconstruction of single-cell gene expression data.pdf,2015,,Nature Biotechnology,True,SciHub,Rahul Satija and Jeffrey A Farrell and David Gennert and Alexander F Schier and Aviv Regev
High-throughput spatial mapping of single-cell RNA-seq data to tissue of origin,,10.1038/nbt.3209,True,High-throughput spatial mapping of single-cell RNA-seq data to tissue of origin.pdf,2015,,Nature Biotechnology,True,SciHub,Kaia Achim and Jean-Baptiste Pettit and Luis R Saraiva and Daria Gavriouchkina and Tomas Larsson and Detlev Arendt and John C Marioni
A survey of human brain transcriptome diversity at the single cell level,,10.1073/pnas.1507125112,True,A survey of human brain transcriptome diversity at the single cell level.pdf,2015,,Proceedings of the National Academy of Sciences,True,SciHub,Spyros Darmanis and Steven A. Sloan and Ye Zhang and Martin Enge and Christine Caneda and Lawrence M. Shuer and Melanie G. Hayden Gephart and Ben A. Barres and Stephen R. Quake
Single-Cell Transcriptome Analyses Reveal Signals to Activate Dormant Neural Stem Cells,,10.1016/j.cell.2015.04.001,True,Single-Cell Transcriptome Analyses Reveal Signals to Activate Dormant Neural Stem Cells.pdf,2015,,Cell,True,SciHub,Yuping Luo and Volkan Coskun and Aibing Liang and Juehua Yu and Liming Cheng and Weihong Ge and Zhanping Shi and Kunshan Zhang and Chun Li and Yaru Cui and Haijun Lin and Dandan Luo and Junbang Wang and Connie Lin and Zachary Dai and Hongwen Zhu and Jun Zhang and Jie Liu and Hailiang Liu and Jean deVellis and Steve Horvath and Yi~Eve Sun and Siguang Li
Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells,,10.1016/j.cell.2015.04.044,True,Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells.pdf,2015,,Cell,True,SciHub,Allon~M. Klein and Linas Mazutis and Ilke Akartuna and Naren Tallapragada and Adrian Veres and Victor Li and Leonid Peshkin and David~A. Weitz and Marc~W. Kirschner
Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets,,10.1016/j.cell.2015.05.002,True,Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets.pdf,2015,,Cell,True,SciHub,Evan~Z. Macosko and Anindita Basu and Rahul Satija and James Nemesh and Karthik Shekhar and Melissa Goldman and Itay Tirosh and Allison~R. Bialas and Nolan Kamitaki and Emily~M. Martersteck and John~J. Trombetta and David~A. Weitz and Joshua~R. Sanes and Alex~K. Shalek and Aviv Regev and Steven~A. McCarroll
